Name,Rating,Reviews,Type,Salaries,Interviews,Jobs,Benefits
Cholamandalam Investment & Finance,3.9,4.6k,Financial Services | Chennai +733 other locations,11.1k,179,24,318
GlobalLogic,3.7,4.6k,IT Services & Consulting | Hyderabad / Secunderabad +47 other locations,35.8k,587,53,577
Apollo Hospitals,4.1,4.6k,Healthcare | Chennai +200 other locations,15.8k,347,32,535
Ashok Leyland,4.1,4.6k,Automobile | Chennai +224 other locations,18.3k,242,--,685
BigBasket,3.9,4.6k,Internet | Bangalore / Bengaluru +122 other locations,17.4k,359,36,405
ICICI Lombard General Insurance Company,3.7,4.6k,Insurance | Mumbai +283 other locations,18.9k,277,114,388
Cyient,3.7,4.5k,IT Services & Consulting | Hyderabad / Secunderabad +40 other locations,26.3k,288,101,503
Bosch Global Software Technologies,3.9,4.5k,IT Services & Consulting | Bangalore / Bengaluru +35 other locations,36.2k,341,20,751
UST,3.8,4.5k,IT Services & Consulting | Bangalore / Bengaluru +43 other locations,36.4k,511,109,465
Citicorp,3.7,4.5k,Financial Services | Pune +62 other locations,43.7k,568,--,565
Hero MotoCorp,4.1,4.5k,Automobile | Gurgaon / Gurugram +331 other locations,14.8k,337,1,627
Mahindra Finance,4.1,4.5k,NBFC | Mumbai +672 other locations,11.3k,151,45,526
JustDial,3.5,4.4k,Internet | Noida +198 other locations,14.8k,329,58,395
Eviden,3.6,4.3k,IT Services & Consulting | Pune +33 other locations,29.6k,298,39,69
Vivo,4.1,4.3k,Consumer Electronics & Appliances | Noida +391 other locations,13k,196,4,685
Home Credit Finance,4.1,4.3k,NBFC | Gurgaon / Gurugram +121 other locations,10.3k,113,81,648
SMFG India Credit,4.0,4.3k,NBFC | Mumbai +538 other locations,10.5k,162,33,360
Manappuram Finance,3.9,4.3k,NBFC | Bangalore / Bengaluru +553 other locations,8.3k,150,30,275
BNY,3.9,4.2k,Financial Services | Pune +22 other locations,28.3k,346,121,571
Atos,3.8,4.2k,IT Services & Consulting | Pune +49 other locations,31.3k,374,38,494
TVS Motor,4.0,4.2k,Automobile | Hosur +306 other locations,14.8k,317,8,565
IQVIA,3.9,4.2k,Clinical Research | Bangalore / Bengaluru +56 other locations,27.9k,468,33,563
Swiggy,3.8,4.2k,Internet | Bangalore / Bengaluru +204 other locations,20.8k,430,195,380
SBI Cards & Payment Services,3.7,4.1k,Financial Services | New Delhi +387 other locations,15.5k,235,82,359
Nagarro,4.0,4.1k,IT Services & Consulting | Gurgaon / Gurugram +41 other locations,26.9k,759,264,1.2k
OPPO,4.0,4.1k,Consumer Electronics & Appliances | Noida +382 other locations,12.5k,213,20,634
Kalpataru Projects International,4.1,4.1k,Engineering & Construction | Mumbai +277 other locations,12.5k,235,1,221
Amdocs,3.7,4.1k,Software Product | Pune +19 other locations,35.4k,514,40,709
Persistent Systems,3.5,4k,IT Services & Consulting | Pune +41 other locations,38.1k,602,192,435
CBRE,4.2,4k,Real Estate | Hyderabad / Secunderabad +81 other locations,16.9k,266,56,493
NTT Data,3.8,3.9k,IT Services & Consulting | Bangalore / Bengaluru +61 other locations,27.8k,623,71,199
State Bank of India,3.8,3.9k,Banking | Mumbai +537 other locations,10.9k,235,3,425
Bosch,4.2,3.9k,Auto Components | Bangalore / Bengaluru +110 other locations,19.9k,331,262,656
Hewlett Packard Enterprise,4.2,3.9k,IT Services & Consulting | Bangalore / Bengaluru +92 other locations,27k,224,18,572
Mahindra Logistics,3.9,3.9k,Logistics | Mumbai +221 other locations,13.5k,197,10,468
JBM Group,4.0,3.9k,Auto Components | Gurgaon / Gurugram +96 other locations,13.6k,271,24,411
SBI Life Insurance Company,3.8,3.9k,Insurance | Mumbai +580 other locations,11.2k,232,8,351
Schneider Electric,4.1,3.9k,Industrial Automation | Bangalore / Bengaluru +113 other locations,21.5k,362,482,499
Dell,4.0,3.9k,Consumer Electronics & Appliances | Bangalore / Bengaluru +105 other locations,27k,386,73,583
Ecom Express,3.8,3.8k,Logistics | Gurgaon / Gurugram +681 other locations,9.3k,199,16,341
